,context,question,answerA,answerB,answerC,correct
30000,"During a game of baseball, several players were trying to catch the ball at once, and in that time, Kai broke Casey's arm.",What will Kai want to do next?,call for help,take a break,ignore it all,A
30001,Jan did everything they could to help Aubrey's life.,Why did Jan do this?,So Aubrey could do well,earn more money,get better,A
30002,Riley changed the colors of all his accessories when he changed soccer teams.,What does Riley need to do before this?,see the new colors,get new accessories,retire from the sport,B
30003,Sasha wanted to fight Aubrey so Aubrey did not show up to school again.,What will Aubrey want to do next?,stay home,buy eggs,rent a milk truck,A
30004,Kendall found their purpose in life after attending the workshop.,What will Kendall want to do next?,Be led astray,live her life with meaning,Forget the lessons,B
30005,Jesse went home from school with Taylor so they could study for the big test.,What will Taylor want to do next?,go to school,go home,get all their study materials out,C
30006,Cameron put the little Christmas tree outside so all his friends could put their ornaments on it.,What will the friends want to do next?,decorate the tree with their ornaments,cover it in toilet paper,cut the tree down,A
30007,Sydney lost their opportunity for a hot dinner cooked by Robin when they kept playing their games.,What will Robin want to do next?,For them to eat,set a time limit for games,For them to buy new games,B
30008,Riley looked them straight in the eye and told them about the creature under the bed.,What will Riley want to do next?,see what they say,scare the child in bed,make the child afraid,B
30009,Addison lost her list for the grocery store and has looked everywhere for it.,How would Aubrey feel afterwards?,careless,sad she helped,proud she found the list,A
30010,Kendall impressed upon Remy how important it was to be truthful about everything.,How would you describe Kendall?,disappointed in Remy,rude and uncaring,mature and understanding,C
30011,Jesse developed a concrete plan and thought through the possible options.,Why did Jesse do this?,Figure out the answers on the fly,put the plan into motion,Come prepared to the situation,C
30012,Taylor told their good friend that they loved them a lot.,How would Others feel as a result?,in love,tired,depressed,A
30013,Cameron played games on Skylar's phone and then dropped it in the toilet.,Skylar and Cameron will feel how afterwards?,quite ashamed,very stupid,discouraged,B
30014,Riley saved Jan's life. and his girl friends life.,How would Riley feel afterwards?,riley saved a cat,riley saved a dog,saved Jan's life,C
30015,Austin imposed upon Kai the rules of the prison during their first day of incarceration.,What will happen to Kai?,get free biscuits from Kai,have to learn to follow the rules,bully Kai,B
30016,Jordan was in the back of the line when he spotted Austin. Jordan called out Austin's name from the back.,How would Austin feel as a result?,embarassed,happy,annoyed,B
30017,Tracy always told Jan everything and Jan really appreciated the inside scoop from her.,What does Tracy need to do before this?,and Jan need to be friendly,and Jan need to not talk to one another,tell Jan everything,C
30018,Robin came home early after a disastrous meeting at the plant.,How would you describe Robin?,not good at their job,going to get promoted,likely to get a raise,A
30019,Alex tried to win the race but all he caught was dust from the racers in front of him.,What will Alex want to do next?,take pictures with trophy,practice harder,enter the race,B
30020,Alex saved Skylar the trouble of calling by showing up at her house.,How would you describe Alex?,embarassed,unreliable,helpful,C
30021,Skylar changed Addison's place and cleaned it and it looked much better than it did before.,What will Skylar want to do next?,clean next,be paid next,Make a mess,B
30022,Jesse fulfilled her duties as a nurse well and then retired to become a writer.,How would Jesse feel afterwards?,glad to be finished,like becoming a doctor,like staying in nursing,A
30023,Remy enhanced their understanding of the computer buy explaining how the computer works.,How would you describe Remy?,As someone that bought the computer,As someone that can explain the computer,as smart,B
30024,Skylar needed a new phone after she dropped her old one in the toilet.,How would Skylar feel afterwards?,inconvenienced,klumsy,empty,B
30025,Skylar was stung by a bee because they were hitting the nest with a stick and all the bees got angry.,How would you describe Skylar?,regretful,careful,reckless,C
30026,Carson dug his nails into Jesse's chest when Jesse started swinging at him.,What will Carson want to do next?,laugh at Jesse,subdue Jesse,shout in pain,B
30027,Taylor was very sick and thanked the doctor for Carson's help.,What will Carson want to do next?,just go away home,begin a vitamin regimen,arrange to find a store,A
30028,Sydney aroused Kendall's interests in hopes she would agree to go to the movie with her.,Why did Sydney do this?,did this to be rude,ask Kendall to the cinema,did this to be friendly,C
30029,"After waiting till the day before the project was due, Carson started last night.",How would you describe Carson?,a hardworking individual,irresponsible,prone to putting things off,B
30030,"Taylor had left their phone at home, so Taylor politely asked someone for the time.",What does Taylor need to do before this?,find someone to ask,will tell Taylor the current time,buy a new cell phone,A
30031,Ash was trying to get away from Susan. Ash ran as fast as possible.,What will Ash want to do next?,hide where Susan cannot find them,run after Susan and try to touch them,run after Susan and try to catch them,A
