,MarianMT,Unicamp_T5,NLLB_1.3b,num_tokens,best_ranked
0,85,75,80,31,MarianMT
1,90,85,80,39,MarianMT
2,95,70,100,28,NLLB_1.3b
3,85,80,90,55,NLLB_1.3b
4,75,70,80,31,NLLB_1.3b
5,95,100,60,25,Unicamp_T5
6,88,85,92,27,NLLB_1.3b
7,75,65,80,35,NLLB_1.3b
8,60,70,80,34,NLLB_1.3b
9,75,60,80,25,NLLB_1.3b
10,85,70,90,27,NLLB_1.3b
11,85,90,95,26,NLLB_1.3b
12,85,70,90,27,NLLB_1.3b
13,80,70,90,26,NLLB_1.3b
14,65,50,75,27,NLLB_1.3b
15,70,60,65,21,MarianMT
16,72,68,82,32,NLLB_1.3b
17,70,60,80,39,NLLB_1.3b
18,70,60,75,33,NLLB_1.3b
19,70,60,80,21,NLLB_1.3b
20,85,90,80,35,Unicamp_T5
21,65,70,60,34,Unicamp_T5
22,82,88,90,42,NLLB_1.3b
23,75,80,70,30,Unicamp_T5
24,85,60,75,30,MarianMT
25,95,75,90,33,MarianMT
26,75,85,80,24,Unicamp_T5
27,75,60,80,37,NLLB_1.3b
28,85,60,90,27,NLLB_1.3b
29,85,70,90,32,NLLB_1.3b
30,75,60,80,29,NLLB_1.3b
31,75,80,70,36,Unicamp_T5
32,85,70,90,37,NLLB_1.3b
33,75,85,90,47,NLLB_1.3b
34,75,20,85,30,NLLB_1.3b
35,85,70,90,22,NLLB_1.3b
36,85,60,95,21,NLLB_1.3b
37,75,70,60,29,MarianMT
38,85,60,90,35,NLLB_1.3b
39,85,70,90,28,NLLB_1.3b
40,85,70,90,26,NLLB_1.3b
41,85,75,90,37,NLLB_1.3b
42,85,70,60,32,MarianMT
43,85,70,90,42,NLLB_1.3b
44,70,50,90,39,NLLB_1.3b
45,75,60,80,38,NLLB_1.3b
46,75,80,90,29,NLLB_1.3b
47,70,60,40,20,MarianMT
48,70,40,90,33,NLLB_1.3b
49,85,70,90,35,NLLB_1.3b
50,85,70,90,24,NLLB_1.3b
51,80,60,90,36,NLLB_1.3b
52,70,60,80,27,NLLB_1.3b
53,65,75,80,31,NLLB_1.3b
54,75,60,80,25,NLLB_1.3b
55,85,70,90,26,NLLB_1.3b
56,75,40,85,40,NLLB_1.3b
57,88,75,90,29,NLLB_1.3b
58,75,60,40,31,MarianMT
59,80,70,90,29,NLLB_1.3b
60,75,60,85,26,NLLB_1.3b
61,85,80,90,32,NLLB_1.3b
62,75,60,80,33,NLLB_1.3b
63,85,80,90,36,NLLB_1.3b
64,80,65,90,20,NLLB_1.3b
65,87,90,92,28,NLLB_1.3b
66,75,60,80,39,NLLB_1.3b
67,85,60,90,35,NLLB_1.3b
68,70,50,80,26,NLLB_1.3b
69,85,70,90,35,NLLB_1.3b
70,70,60,80,43,NLLB_1.3b
71,90,70,95,39,NLLB_1.3b
72,85,75,90,39,NLLB_1.3b
73,85,70,95,44,NLLB_1.3b
74,85,70,90,30,NLLB_1.3b
75,75,60,80,20,NLLB_1.3b
76,75,80,70,26,Unicamp_T5
77,75,60,85,22,NLLB_1.3b
78,85,70,90,21,NLLB_1.3b
79,85,90,95,23,NLLB_1.3b
80,75,65,70,29,MarianMT
81,85,70,90,28,NLLB_1.3b
82,85,60,75,34,MarianMT
83,70,50,80,38,NLLB_1.3b
84,85,40,90,26,NLLB_1.3b
85,90,80,85,22,MarianMT
86,85,75,90,30,NLLB_1.3b
87,85,75,90,29,NLLB_1.3b
88,60,25,75,26,NLLB_1.3b
89,75,60,80,33,NLLB_1.3b
90,90,70,95,23,NLLB_1.3b
91,70,80,85,33,NLLB_1.3b
92,75,80,85,32,NLLB_1.3b
93,85,60,90,44,NLLB_1.3b
94,70,50,80,34,NLLB_1.3b
95,70,80,50,24,Unicamp_T5
96,70,60,50,34,MarianMT
97,85,90,95,41,NLLB_1.3b
98,85,75,90,28,NLLB_1.3b
99,85,10,90,27,NLLB_1.3b
100,85,90,75,34,Unicamp_T5
101,90,85,95,31,NLLB_1.3b
102,85,70,80,24,MarianMT
103,85,40,90,39,NLLB_1.3b
104,85,75,70,34,MarianMT
105,70,60,80,17,NLLB_1.3b
106,85,70,90,27,NLLB_1.3b
107,85,70,60,27,MarianMT
108,65,50,80,27,NLLB_1.3b
109,85,80,90,31,NLLB_1.3b
110,85,70,90,31,NLLB_1.3b
111,90,75,95,23,NLLB_1.3b
112,85,70,90,32,NLLB_1.3b
113,85,70,90,47,NLLB_1.3b
114,60,75,70,12,Unicamp_T5
115,75,60,85,21,NLLB_1.3b
116,85,90,95,20,NLLB_1.3b
117,85,70,90,32,NLLB_1.3b
118,70,60,80,37,NLLB_1.3b
119,80,85,90,30,NLLB_1.3b
120,80,70,85,37,NLLB_1.3b
121,50,20,75,23,NLLB_1.3b
122,85,70,90,21,NLLB_1.3b
123,75,80,90,26,NLLB_1.3b
124,70,60,80,19,NLLB_1.3b
125,85,90,90,34,Unicamp_T5
126,75,60,90,31,NLLB_1.3b
127,75,60,80,30,NLLB_1.3b
128,65,70,80,29,NLLB_1.3b
129,70,60,85,46,NLLB_1.3b
130,65,70,80,29,NLLB_1.3b
131,90,85,80,35,MarianMT
132,85,70,80,24,MarianMT
133,70,60,75,34,NLLB_1.3b
134,65,50,80,34,NLLB_1.3b
135,85,70,90,28,NLLB_1.3b
136,75,60,85,29,NLLB_1.3b
137,80,85,90,38,NLLB_1.3b
138,85,60,90,27,NLLB_1.3b
139,85,80,90,35,NLLB_1.3b
140,85,90,90,33,Unicamp_T5
141,65,50,75,29,NLLB_1.3b
142,85,70,90,28,NLLB_1.3b
143,75,60,80,34,NLLB_1.3b
144,70,60,75,33,NLLB_1.3b
145,75,50,60,29,MarianMT
146,75,60,85,29,NLLB_1.3b
147,75,80,70,25,Unicamp_T5
148,75,80,85,28,NLLB_1.3b
149,60,40,80,31,NLLB_1.3b
150,75,80,85,27,NLLB_1.3b
151,85,90,80,25,Unicamp_T5
152,90,85,80,23,MarianMT
153,70,60,80,25,NLLB_1.3b
154,75,40,80,25,NLLB_1.3b
155,90,60,95,28,NLLB_1.3b
156,85,70,90,27,NLLB_1.3b
157,85,90,80,34,Unicamp_T5
158,70,40,60,22,MarianMT
159,85,70,80,26,MarianMT
160,75,50,60,28,MarianMT
161,65,50,70,24,NLLB_1.3b
162,75,60,85,42,NLLB_1.3b
163,75,80,85,33,NLLB_1.3b
164,70,50,80,34,NLLB_1.3b
165,60,70,80,31,NLLB_1.3b
166,75,80,70,30,Unicamp_T5
167,75,40,80,26,NLLB_1.3b
168,85,70,80,29,MarianMT
169,70,80,90,31,NLLB_1.3b
170,75,50,85,23,NLLB_1.3b
171,85,70,80,26,MarianMT
172,65,75,80,34,NLLB_1.3b
173,70,60,80,36,NLLB_1.3b
174,85,90,80,33,Unicamp_T5
175,85,90,90,28,Unicamp_T5
176,65,60,80,37,NLLB_1.3b
177,85,90,92,43,NLLB_1.3b
178,75,60,80,33,NLLB_1.3b
179,85,70,90,30,NLLB_1.3b
180,90,75,85,27,MarianMT
181,75,60,85,31,NLLB_1.3b
182,85,70,90,36,NLLB_1.3b
183,75,60,80,29,NLLB_1.3b
184,85,80,90,34,NLLB_1.3b
185,85,70,90,30,NLLB_1.3b
186,75,40,85,29,NLLB_1.3b
187,85,70,90,30,NLLB_1.3b
188,85,60,90,38,NLLB_1.3b
189,75,60,85,29,NLLB_1.3b
190,68,50,80,20,NLLB_1.3b
191,75,20,85,32,NLLB_1.3b
192,70,50,80,35,NLLB_1.3b
193,85,70,90,37,NLLB_1.3b
194,60,75,85,35,NLLB_1.3b
195,70,80,60,29,Unicamp_T5
196,85,75,90,65,NLLB_1.3b
197,75,40,85,32,NLLB_1.3b
198,85,70,60,23,MarianMT
199,75,80,60,34,Unicamp_T5
200,85,75,90,38,NLLB_1.3b
201,85,75,90,26,NLLB_1.3b
202,75,70,85,34,NLLB_1.3b
203,70,50,80,25,NLLB_1.3b
204,85,70,90,36,NLLB_1.3b
205,85,90,80,35,Unicamp_T5
206,75,60,85,25,NLLB_1.3b
207,85,60,75,22,MarianMT
208,85,70,90,25,NLLB_1.3b
209,70,60,80,26,NLLB_1.3b
210,85,75,70,34,MarianMT
211,90,80,95,31,NLLB_1.3b
212,80,60,90,33,NLLB_1.3b
213,75,60,80,28,NLLB_1.3b
214,75,60,90,25,NLLB_1.3b
215,90,80,90,21,MarianMT
216,90,85,80,28,MarianMT
217,84,78,92,27,NLLB_1.3b
218,70,50,90,36,NLLB_1.3b
219,85,75,90,28,NLLB_1.3b
220,85,60,90,41,NLLB_1.3b
221,85,75,90,36,NLLB_1.3b
222,75,90,80,43,Unicamp_T5
223,85,60,90,24,NLLB_1.3b
224,88,60,80,35,MarianMT
225,85,70,90,37,NLLB_1.3b
226,86,75,90,33,NLLB_1.3b
227,85,60,70,30,MarianMT
228,85,70,90,29,NLLB_1.3b
229,55,20,70,25,NLLB_1.3b
230,75,50,80,21,NLLB_1.3b
231,70,80,85,23,NLLB_1.3b
232,75,60,85,31,NLLB_1.3b
233,85,70,90,35,NLLB_1.3b
234,85,70,90,29,NLLB_1.3b
235,78,65,88,46,NLLB_1.3b
236,75,50,80,46,NLLB_1.3b
237,80,60,90,20,NLLB_1.3b
238,75,80,70,32,Unicamp_T5
239,85,60,90,33,NLLB_1.3b
240,70,55,80,31,NLLB_1.3b
241,85,75,90,37,NLLB_1.3b
242,88,92,90,30,Unicamp_T5
243,75,60,85,27,NLLB_1.3b
244,75,80,85,33,NLLB_1.3b
245,85,80,90,26,NLLB_1.3b
246,85,75,90,37,NLLB_1.3b
247,75,80,90,27,NLLB_1.3b
