,MarianMT,Unicamp_T5,NLLB_1.3b
0,82,90,88
1,75,60,80
2,85,90,80
3,80,60,90
4,75,60,85
5,75,50,80
6,85,40,90
7,85,70,90
8,72,60,82
9,75,60,80
10,85,70,90
11,85,70,90
12,85,70,90
13,70,80,90
14,65,55,80
15,85,45,90
16,85,70,90
17,75,60,85
18,90,70,95
19,85,70,90
20,85,75,90
21,65,50,75
22,85,60,90
23,75,80,90
24,85,75,80
25,85,70,90
26,70,60,80
27,85,70,80
28,85,75,90
29,75,60,85
30,70,60,80
31,85,90,80
32,85,75,90
33,84,90,80
34,80,70,90
35,80,85,90
36,87,65,80
37,75,20,85
38,85,75,90
39,85,40,90
40,85,80,90
41,85,70,90
42,75,40,80
43,85,90,75
44,70,60,80
45,85,70,80
46,85,90,80
47,85,70,90
48,65,50,70
49,60,40,70
50,85,75,90
51,85,90,70
52,85,75,90
53,85,80,90
54,75,40,85
55,85,70,90
56,90,85,80
57,60,40,70
58,85,70,90
59,85,60,90
60,70,60,50
61,70,50,80
62,85,75,90
63,85,60,80
64,85,60,90
65,70,50,80
66,95,70,100
67,90,80,95
68,75,80,85
69,85,90,95
70,85,75,90
71,85,60,75
72,75,85,90
73,85,75,90
74,90,85,92
75,75,60,85
76,85,70,90
77,85,90,88
78,75,60,80
79,85,90,80
80,80,60,90
81,85,75,90
82,85,70,90
83,85,75,90
84,85,70,90
85,70,50,80
86,75,50,80
87,85,80,90
88,65,40,85
89,85,90,85
90,70,40,80
91,90,40,95
92,85,70,90
93,85,70,90
94,75,60,85
95,70,60,80
96,70,65,60
97,75,60,85
98,80,90,70
99,75,60,85
100,85,90,80
101,85,70,90
102,85,75,70
103,60,50,70
104,85,70,90
105,85,60,90
106,70,50,75
107,70,80,90
108,70,65,85
109,75,60,85
110,85,70,90
111,70,80,60
112,70,60,80
113,85,70,90
114,85,70,90
115,75,60,80
116,90,80,95
117,90,80,95
118,85,75,90
119,85,80,90
120,75,60,80
121,70,30,80
122,85,70,90
123,85,70,90
124,80,70,90
125,65,40,75
126,70,55,80
127,85,80,90
128,75,60,80
129,85,90,95
130,85,70,90
131,85,70,80
132,75,80,90
133,85,70,90
134,85,70,90
135,70,60,80
136,90,75,95
137,75,20,50
138,85,70,80
139,85,70,90
140,85,80,90
141,75,50,85
142,85,75,90
143,85,50,90
144,85,70,90
145,85,70,90
146,75,60,85
147,85,70,90
148,72,60,85
149,75,60,70
150,75,60,85
151,80,85,90
152,85,75,90
153,75,60,85
154,75,60,80
155,85,80,90
156,70,50,80
157,85,60,90
158,73,58,80
159,85,70,90
160,65,40,75
161,70,40,80
162,75,60,80
163,85,60,90
164,85,70,90
165,85,60,90
166,75,65,90
167,70,50,60
168,70,60,50
169,75,60,85
170,85,70,90
171,85,90,95
172,75,60,85
173,75,60,85
174,75,85,80
175,70,60,40
176,90,80,85
177,85,80,75
178,70,60,80
179,85,70,90
180,75,60,85
181,85,60,90
182,75,60,85
183,70,50,80
184,85,70,90
185,90,80,95
186,70,40,80
187,70,60,80
188,70,60,80
189,85,75,90
190,85,75,90
191,65,70,80
192,85,90,95
193,70,60,80
194,75,80,85
195,85,75,90
196,85,70,90
197,90,85,95
198,85,70,90
199,70,50,80
200,75,50,60
201,85,65,90
202,85,75,80
203,80,60,85
204,80,70,90
205,85,50,90
206,75,65,80
207,70,80,65
208,75,85,90
209,80,70,90
210,70,65,80
211,75,60,85
212,85,70,90
213,95,80,90
214,85,70,90
215,70,80,90
216,75,50,70
217,75,60,85
218,85,70,90
219,75,70,90
220,85,70,95
221,85,70,60
222,85,70,90
223,85,70,90
224,85,80,90
225,75,85,60
226,80,50,90
227,75,40,60
228,75,60,80
229,85,80,75
230,60,40,80
231,75,40,85
232,85,75,90
233,75,80,90
234,85,75,90
235,75,80,85
236,80,90,85
237,65,50,70
238,75,60,80
239,80,60,75
240,70,80,85
241,70,60,80
242,70,50,80
243,75,80,65
244,75,60,85
245,85,90,80
246,70,50,60
247,85,90,80
248,85,75,90
249,80,85,90
250,75,80,70
251,85,75,90
252,70,80,60
253,85,70,90
254,85,50,90
255,70,80,60
256,70,45,80
257,95,90,85
258,65,50,80
259,75,60,85
260,85,70,90
261,85,90,80
262,85,60,75
263,80,60,90
264,75,60,85
265,65,45,55
266,70,50,80
267,75,40,85
268,85,60,90
269,85,70,90
270,85,70,90
271,85,40,90
272,85,70,90
273,90,95,85
274,85,70,90
275,75,80,60
276,75,80,90
277,85,60,90
278,70,20,60
279,85,70,90
280,75,60,45
281,75,60,80
282,85,90,95
283,85,80,75
284,70,80,75
285,88,72,92
286,65,50,60
287,75,80,85
288,70,60,80
289,82,75,90
290,75,60,80
291,85,70,60
292,75,60,85
293,70,20,60
294,75,50,80
295,85,70,90
296,85,70,90
297,65,40,75
298,70,50,80
299,85,70,90
300,85,75,90
301,70,60,80
302,85,75,90
303,85,60,75
304,85,70,90
305,75,80,90
306,65,50,70
307,75,60,50
308,85,70,90
309,75,40,85
310,95,80,90
311,90,80,85
312,85,70,90
313,65,70,60
314,85,90,95
315,85,60,90
316,75,80,85
317,85,70,90
318,65,70,75
319,75,80,90
320,75,60,80
321,85,70,80
322,85,80,90
323,85,70,90
324,85,80,90
325,85,90,95
326,70,60,80
327,85,80,90
328,85,70,80
329,85,90,80
330,75,85,50
331,85,75,90
332,85,60,75
333,85,60,90
334,85,65,70
335,85,75,90
336,85,70,90
337,85,90,80
338,50,75,60
339,85,75,60
340,85,50,90
341,65,50,70
342,75,60,55
343,75,60,80
344,70,60,80
345,85,75,90
346,65,50,80
347,80,90,85
348,75,60,80
349,85,75,80
350,75,60,40
351,75,80,90
352,70,65,80
353,70,50,80
354,75,60,85
355,65,45,80
356,65,70,50
357,85,90,95
358,75,80,90
359,85,75,90
360,75,40,90
361,80,70,90
362,85,70,90
363,75,60,80
364,70,60,80
365,75,80,85
366,85,80,90
367,70,60,80
368,75,60,85
369,75,60,80
370,80,70,90
371,85,90,80
372,75,40,60
373,70,80,60
374,85,90,75
375,95,80,90
376,75,80,70
377,60,75,85
378,85,75,90
379,85,70,90
380,70,50,75
381,75,60,65
382,85,70,90
383,85,90,95
384,75,30,85
385,85,75,90
386,90,85,80
387,85,70,90
388,85,75,90
389,70,30,80
390,70,60,75
391,75,60,85
392,85,60,90
393,75,60,85
394,85,70,90
395,85,70,90
396,75,60,80
397,85,90,80
398,85,70,90
399,85,40,90
400,85,70,90
401,75,60,85
402,75,60,80
403,70,80,85
404,70,60,80
405,75,70,80
406,75,40,85
407,90,60,85
408,75,80,85
409,75,60,80
410,85,80,90
411,75,60,45
412,75,50,80
413,70,50,80
414,75,60,80
415,70,50,80
416,80,70,85
417,85,60,90
418,75,85,80
419,85,80,70
420,85,60,70
421,85,70,90
422,80,70,90
423,75,60,80
424,85,90,95
425,75,50,80
426,85,80,90
427,75,80,85
428,90,95,85
429,85,70,90
430,85,90,80
431,65,40,75
432,80,70,60
433,75,60,85
434,75,82,88
435,85,75,90
436,70,60,75
437,85,20,90
438,85,70,90
439,85,70,90
440,85,70,90
441,85,70,90
442,85,70,90
443,85,80,70
444,70,50,60
445,70,60,75
446,85,90,95
447,85,70,90
448,85,70,90
449,75,55,80
450,85,70,90
451,85,75,90
452,70,45,80
453,88,85,90
454,85,80,90
455,85,60,90
456,85,70,90
457,65,50,70
458,85,70,90
459,70,50,80
460,72,45,85
461,75,60,80
462,70,60,80
463,75,60,85
464,65,75,60
465,85,70,90
466,85,70,90
467,85,70,75
468,75,50,90
469,75,60,80
470,85,70,90
471,70,60,85
472,70,50,80
473,75,85,90
474,75,80,85
475,85,90,87
476,85,70,75
477,75,60,80
478,70,50,85
479,75,50,60
480,85,70,90
481,85,75,90
482,85,60,90
483,85,70,90
484,75,60,80
485,70,50,80
486,85,70,90
487,85,50,90
488,85,70,90
489,85,70,75
490,85,70,90
491,85,70,90
492,70,20,90
493,65,50,70
494,85,90,92
495,85,75,90
496,85,70,90
497,70,60,80
498,70,60,85
499,85,75,90
500,95,85,90
501,75,60,85
502,75,60,80
503,85,75,90
504,75,65,80
505,85,70,90
506,85,70,60
507,70,60,40
508,85,70,90
509,70,65,80
510,85,70,90
511,75,60,80
512,85,90,80
513,75,50,80
514,75,60,80
515,85,70,90
516,70,85,90
517,85,78,70
518,80,70,90
519,85,90,80
520,85,70,90
521,85,80,90
522,80,40,90
523,85,90,80
524,65,80,40
525,85,70,90
526,75,60,80
527,70,50,80
528,85,70,90
529,65,20,50
530,85,70,90
531,80,60,90
532,75,50,80
533,85,70,90
534,85,70,90
535,90,80,70
536,85,70,90
537,70,60,80
538,80,50,70
539,75,50,60
540,85,75,60
541,80,70,90
542,60,40,70
543,85,90,80
544,85,70,90
545,65,80,90
546,65,70,80
547,85,90,95
548,85,70,90
549,85,90,95
550,75,50,80
551,75,55,80
552,85,75,90
553,65,80,50
554,85,75,90
555,85,75,90
556,75,60,80
557,75,80,70
558,85,65,70
559,70,80,85
560,85,70,80
561,75,80,65
562,75,80,85
563,85,70,65
564,85,70,80
565,75,60,80
566,70,50,60
567,65,40,75
568,75,80,90
569,85,70,90
570,80,40,90
571,70,50,80
572,75,60,85
573,85,50,90
574,65,70,80
575,85,70,90
576,65,50,80
577,60,70,80
578,85,75,90
579,75,60,85
580,70,50,60
581,85,80,90
582,85,90,80
583,85,75,90
584,85,70,90
585,85,90,75
586,80,90,95
587,85,90,95
588,85,70,90
589,85,70,95
590,75,80,90
591,70,85,80
592,65,40,80
593,85,90,95
594,85,70,90
595,75,40,85
596,85,70,80
597,80,50,90
598,85,70,90
599,85,70,90
600,75,40,80
601,85,90,75
602,85,90,95
603,70,60,75
604,80,85,70
605,75,20,85
606,85,70,90
607,85,70,90
608,80,70,90
609,85,70,90
610,75,50,65
611,75,60,80
612,85,80,90
613,65,40,75
614,70,50,60
615,75,60,80
616,75,60,80
617,75,50,80
618,75,60,80
619,85,75,90
620,90,70,85
621,85,70,90
622,75,65,80
623,80,70,85
624,75,60,80
625,75,60,90
626,85,80,90
627,75,65,70
628,75,50,85
629,75,60,80
630,75,45,80
631,85,90,80
632,85,70,90
633,85,70,90
634,82,75,90
635,85,70,90
636,75,50,85
637,85,75,80
638,85,70,80
639,85,70,90
640,90,80,95
641,90,85,95
642,85,80,90
643,85,70,90
644,85,70,90
645,70,60,50
646,75,60,80
647,70,80,85
648,85,80,90
649,85,90,80
650,70,40,60
651,85,90,75
652,75,60,80
653,70,80,85
654,85,70,90
655,75,60,85
656,75,50,60
657,65,40,75
658,85,80,90
659,85,90,75
660,85,75,80
661,70,40,80
662,75,60,85
663,70,50,80
664,70,60,75
665,85,70,90
666,70,50,80
667,75,70,80
668,75,50,80
669,70,50,80
670,70,60,75
671,85,60,90
672,80,70,90
673,85,80,90
674,75,60,85
675,75,60,85
676,85,90,95
677,85,70,90
678,85,70,90
679,65,70,80
680,75,60,80
681,75,60,45
682,70,80,85
683,85,80,90
684,75,60,90
685,85,75,90
686,70,40,85
687,85,90,95
688,70,50,60
689,70,60,85
690,75,60,90
691,75,50,80
692,70,60,80
693,85,75,90
694,80,70,90
695,85,80,75
696,85,70,90
697,85,60,90
698,75,60,80
699,70,50,60
700,75,60,80
701,80,90,70
702,65,40,75
703,85,70,90
704,85,90,95
705,85,80,90
706,85,90,80
707,75,50,85
708,75,60,80
709,85,70,80
710,80,90,70
711,75,70,80
712,60,20,75
713,85,70,90
714,65,70,80
715,70,60,80
716,85,80,90
717,80,60,70
718,85,60,90
719,85,70,90
720,80,75,85
721,70,60,85
722,85,60,70
723,75,80,65
724,70,80,90
725,75,60,80
726,90,85,70
727,85,70,90
728,85,70,90
729,85,90,80
730,85,70,90
731,85,60,90
732,85,75,80
733,85,70,90
734,85,80,90
735,75,60,85
736,70,40,85
737,85,50,90
738,85,75,90
739,85,70,90
740,85,70,90
741,85,90,80
742,85,70,90
743,70,80,60
744,85,60,90
745,85,90,80
746,85,75,90
747,75,60,85
748,90,80,95
749,75,60,85
750,90,70,95
751,80,60,70
752,70,50,80
753,75,80,60
754,75,20,90
755,92,84,88
756,75,50,85
757,75,80,85
758,75,60,80
759,85,60,90
760,60,40,70
761,85,75,90
762,70,50,80
763,85,60,70
764,85,10,90
765,70,60,50
766,65,40,80
767,85,70,90
768,85,40,70
769,70,60,50
770,65,45,75
771,70,60,80
772,85,60,90
773,85,70,90
774,75,60,70
775,85,70,90
776,75,60,90
777,85,60,90
778,80,50,90
779,65,70,75
780,85,70,75
781,85,70,90
782,70,60,80
783,85,70,90
784,75,60,80
785,70,60,80
786,75,60,85
787,75,60,85
788,75,80,90
789,85,75,90
790,70,30,80
791,85,60,90
792,85,60,90
793,85,70,90
794,85,90,80
795,65,75,80
796,85,80,90
797,75,70,80
798,85,75,90
799,85,70,90
800,70,60,80
801,75,60,50
802,85,75,70
803,72,45,80
804,85,90,80
805,85,80,90
806,70,80,85
807,75,50,85
808,85,75,90
809,85,65,90
810,70,60,80
811,85,80,90
812,85,60,90
813,75,80,85
814,75,80,90
815,85,70,90
816,85,70,90
817,70,60,50
818,65,30,80
819,70,50,80
820,75,60,80
821,85,90,85
822,85,75,90
823,65,50,75
824,85,80,90
825,85,90,95
826,85,70,90
827,70,75,80
828,75,60,80
829,85,75,90
830,75,80,85
831,65,45,70
832,75,60,50
833,70,60,75
834,85,70,90
835,85,90,70
836,75,60,85
837,70,60,75
838,70,65,80
839,70,60,85
840,75,85,80
841,70,50,60
842,65,50,70
843,85,70,90
844,75,50,85
845,70,60,80
846,70,55,80
847,90,80,95
848,70,60,80
