,MarianMT,Unicamp_T5,NLLB_1.3b
0,75,60,85
1,65,80,70
2,60,40,75
3,70,60,80
4,85,75,90
5,85,70,90
6,85,75,70
7,90,85,95
8,70,60,80
9,85,60,90
10,80,75,90
11,80,70,85
12,85,90,95
13,60,50,70
14,85,80,90
15,85,90,80
16,90,85,60
17,85,70,90
18,80,60,90
19,75,80,90
20,75,50,85
21,85,70,90
22,85,80,90
23,80,70,90
24,85,60,90
25,90,95,85
26,80,70,90
27,90,80,95
28,75,40,85
29,85,75,90
30,80,60,75
31,85,55,90
32,85,50,90
33,85,70,90
34,70,40,90
35,85,70,95
36,85,70,90
37,85,90,90
38,80,70,90
39,85,70,90
40,70,40,80
41,85,70,90
42,75,60,80
43,85,60,90
44,75,80,85
45,90,95,100
46,70,80,85
47,85,80,90
48,60,45,55
49,70,55,60
50,85,70,90
51,70,50,90
52,75,60,40
53,85,75,90
54,75,60,80
55,85,60,90
56,90,70,85
57,85,75,90
58,70,45,60
59,70,50,80
60,70,40,80
61,85,90,70
62,90,70,90
63,85,45,90
64,85,80,90
65,85,70,90
66,85,90,80
67,85,75,90
68,85,90,95
69,85,70,90
70,40,20,60
71,85,90,75
72,85,80,75
73,70,60,45
74,65,40,60
75,85,75,90
76,85,70,90
77,75,60,80
78,75,80,85
79,85,75,90
80,90,85,95
81,70,65,75
82,75,50,90
83,85,70,90
84,70,60,80
85,60,75,80
86,75,45,85
87,85,90,95
88,85,70,90
89,85,70,90
90,65,70,80
91,85,90,95
92,85,70,90
93,80,70,90
94,75,60,85
95,85,60,95
96,85,90,95
97,75,60,80
98,85,70,90
99,75,60,85
100,65,40,90
101,85,70,90
102,70,60,75
103,85,70,90
104,85,75,90
105,70,60,80
106,75,50,60
107,85,70,90
108,80,70,90
109,60,40,80
110,85,70,95
111,80,60,90
112,85,90,95
113,75,50,80
114,85,90,80
115,85,60,90
116,85,90,95
117,60,40,20
118,85,90,95
119,85,70,90
120,80,70,90
121,85,90,75
122,85,70,90
123,75,65,80
124,75,85,90
125,70,60,80
126,90,80,95
127,85,50,90
128,85,80,90
129,85,70,90
130,75,60,90
131,75,60,80
132,85,70,90
133,75,50,90
134,85,70,90
135,85,90,75
136,60,30,80
137,85,70,90
138,40,10,60
139,85,70,90
140,70,80,90
141,75,50,80
142,75,60,80
143,70,75,80
144,75,65,80
145,70,50,80
146,70,60,80
147,80,70,90
148,75,50,85
149,85,60,90
150,70,75,80
151,65,55,40
152,85,70,90
153,75,50,60
154,85,60,90
155,80,50,85
156,85,90,95
157,75,80,60
158,75,40,85
159,75,60,85
160,85,75,90
161,70,60,80
162,50,60,70
163,90,80,95
164,70,60,80
165,90,85,95
166,85,70,90
167,85,70,90
168,60,75,80
169,60,75,80
170,70,50,80
171,75,80,90
172,85,75,90
173,70,60,80
174,85,70,90
175,85,70,90
176,70,50,80
177,90,75,85
178,85,70,90
179,65,75,80
180,80,85,70
181,75,80,90
182,75,80,85
183,85,90,80
184,65,70,85
185,60,40,70
186,85,90,80
187,70,50,80
188,70,80,90
189,85,40,90
190,85,75,60
191,85,70,90
192,85,90,85
193,70,40,90
194,75,60,80
195,60,40,80
196,50,60,70
197,75,60,50
198,75,50,80
199,90,85,80
200,75,80,90
201,70,50,90
202,80,70,85
203,80,70,60
204,70,50,85
205,60,40,75
206,75,50,80
207,85,90,95
208,70,50,80
209,70,60,80
210,85,70,90
211,85,70,90
212,80,20,90
213,75,50,85
214,85,70,95
215,60,20,70
216,85,70,90
217,85,70,90
218,85,70,90
219,45,20,75
220,75,60,80
221,79,90,85
222,85,90,80
223,75,50,80
224,65,40,80
225,85,80,90
226,85,70,90
227,88,70,90
228,85,70,90
229,85,90,80
230,60,75,85
231,85,90,90
232,95,90,85
233,75,80,85
234,75,80,65
235,85,70,90
236,75,60,85
237,85,75,90
238,85,90,70
239,85,70,80
240,75,80,85
241,85,70,90
242,85,70,90
243,85,70,80
244,85,60,90
245,70,80,90
246,85,70,90
247,85,70,90
248,90,75,85
249,80,20,70
250,85,90,95
251,85,50,95
252,75,80,90
253,75,60,80
254,85,70,90
255,75,80,65
256,85,70,90
257,85,70,95
258,70,60,80
259,85,75,90
260,75,60,85
261,85,40,95
262,75,60,80
263,70,80,60
264,85,70,75
265,85,70,90
266,85,70,90
267,85,50,90
268,60,30,75
269,90,60,95
270,85,70,90
271,75,60,85
272,70,65,85
273,75,60,85
274,85,70,90
275,85,70,90
276,85,70,90
277,70,40,90
278,85,70,90
279,85,70,90
280,65,70,80
281,90,80,95
282,85,70,90
283,70,50,90
284,75,65,80
285,85,70,90
286,70,80,90
287,75,80,85
288,85,90,95
289,70,60,80
290,85,80,90
291,65,75,50
292,85,75,90
293,75,60,85
294,85,70,90
295,75,40,80
296,85,90,80
297,85,90,95
298,85,70,90
299,70,50,80
300,85,40,90
301,80,50,70
302,70,60,80
303,70,65,75
304,70,60,80
305,85,70,90
306,65,50,80
307,85,70,90
308,80,60,90
309,85,70,90
310,80,70,85
311,90,85,95
312,85,70,90
313,75,60,85
314,65,50,80
315,75,80,60
316,85,60,95
317,75,60,90
318,85,70,90
319,75,80,90
320,70,50,90
321,70,20,50
322,80,85,90
323,85,70,80
324,85,75,90
325,80,60,90
326,75,85,80
327,85,80,90
328,85,70,90
329,80,60,90
330,70,80,90
331,85,75,90
332,70,50,80
333,70,60,55
334,85,70,90
335,75,60,85
336,70,50,80
337,70,50,80
338,85,60,90
339,90,70,85
340,85,80,70
341,85,70,90
342,85,90,95
343,75,80,85
344,75,50,80
345,85,75,90
346,60,50,70
347,85,70,95
348,85,70,90
349,85,75,90
350,70,50,80
351,85,70,90
352,85,60,90
353,90,87,95
354,70,80,60
355,85,70,90
356,70,80,85
357,85,70,80
358,80,70,90
359,75,60,80
360,70,80,85
361,85,75,65
362,85,70,90
363,85,90,95
364,85,70,90
365,75,80,85
366,70,40,80
367,85,70,90
368,70,60,80
369,85,70,90
370,75,60,85
371,70,60,75
372,90,80,95
373,90,75,95
374,70,50,80
375,70,85,60
376,80,60,90
377,70,20,80
378,85,70,90
379,75,80,70
380,75,60,85
381,85,60,95
382,85,70,90
383,60,20,80
384,70,80,75
385,75,60,80
386,85,75,90
387,85,40,90
388,50,20,75
389,85,70,90
390,85,70,75
391,90,85,75
392,80,75,90
393,85,75,80
394,85,90,95
395,70,50,85
396,70,50,80
397,85,75,90
398,85,70,90
399,85,60,75
400,75,60,85
401,75,65,80
402,70,50,85
403,75,50,80
404,70,85,60
405,80,70,90
406,70,60,75
407,75,60,80
408,85,70,90
409,40,20,60
410,60,75,80
411,85,70,90
412,75,80,70
413,75,60,85
