,MarianMT,Unicamp_T5,NLLB_1.3b
0,85,90,80
1,85,80,90
2,75,60,50
3,75,60,80
4,60,70,80
5,75,65,85
6,85,90,80
7,75,60,80
8,85,75,90
9,85,70,90
10,85,80,90
11,65,70,80
12,75,60,85
13,85,75,80
14,85,60,75
15,75,60,80
16,75,60,80
17,85,70,90
18,70,60,80
19,85,70,90
20,85,75,90
21,75,60,70
22,75,60,80
23,75,60,80
24,85,80,90
25,70,80,60
26,65,80,70
27,75,85,60
28,75,80,85
29,75,60,85
30,70,80,85
31,65,55,70
32,65,40,80
33,75,60,80
34,75,80,60
35,85,70,90
36,75,60,85
37,85,70,90
38,85,90,80
39,85,90,80
40,70,60,80
41,70,80,60
42,85,70,90
43,85,70,90
44,85,70,90
45,85,70,90
46,70,40,55
47,85,70,90
48,85,70,90
49,75,60,80
50,75,60,85
51,75,80,85
52,80,70,90
53,75,80,90
54,70,50,80
55,75,60,80
56,85,70,90
57,85,70,90
58,85,90,95
59,80,65,90
60,85,70,60
61,75,60,80
62,90,85,95
63,70,50,80
64,75,60,80
65,85,75,90
66,85,80,90
67,80,70,85
68,75,60,80
69,85,90,80
70,75,80,70
71,85,75,90
72,90,85,95
73,75,60,80
74,75,60,80
75,70,80,85
76,90,80,95
77,75,90,80
78,75,45,80
79,75,70,80
80,85,80,75
81,72,58,80
82,85,75,90
83,75,60,80
84,70,40,80
85,74,65,80
86,85,80,90
87,85,80,90
88,85,70,90
89,70,60,75
90,75,80,65
91,70,50,80
92,90,85,95
93,85,90,80
94,75,80,90
95,75,60,85
96,75,50,85
97,85,60,90
98,85,70,90
99,85,80,90
100,85,75,90
101,85,75,90
102,90,75,85
103,75,60,80
104,85,90,95
105,75,60,85
106,75,60,85
107,85,75,90
108,80,85,90
109,60,75,70
110,65,70,80
111,80,70,85
112,75,60,85
113,75,80,70
114,75,85,80
115,65,40,80
116,85,75,90
117,85,90,80
118,85,70,90
119,70,50,80
120,85,90,80
121,75,60,80
122,70,50,60
123,75,60,80
124,85,20,90
125,70,50,60
126,85,90,80
127,85,90,80
128,75,60,85
129,85,70,90
130,85,90,80
131,85,70,90
132,70,20,80
133,75,50,80
134,90,95,85
135,75,60,50
136,85,80,90
137,80,60,90
138,85,60,90
139,70,80,85
140,75,60,70
141,70,40,60
142,65,70,80
143,70,80,85
144,75,60,70
145,85,70,90
146,85,70,90
147,75,50,80
148,60,50,70
149,75,60,85
150,65,70,60
151,85,75,90
152,85,75,90
153,85,80,90
154,90,85,80
155,85,80,75
156,80,90,95
157,85,75,90
158,85,70,80
159,85,75,90
160,70,80,90
161,85,90,95
162,60,70,50
163,85,80,90
164,85,70,90
165,85,75,90
166,85,70,60
167,85,70,90
168,85,75,90
169,85,70,90
170,75,60,80
171,82,50,90
172,85,70,90
173,85,70,90
174,75,60,90
175,70,80,90
176,85,80,90
177,85,80,75
178,65,40,50
179,85,75,90
180,85,70,75
181,90,75,80
182,85,70,90
183,85,70,80
184,85,90,75
185,90,85,95
186,85,90,80
187,65,40,70
188,70,60,85
189,90,85,95
190,60,70,75
191,85,80,90
192,70,50,65
193,85,70,90
194,70,60,80
195,85,70,80
196,75,60,80
197,75,85,60
198,85,20,90
199,70,50,80
200,85,70,90
201,70,40,60
202,80,90,85
203,80,90,70
204,85,70,90
205,75,60,80
206,85,90,80
207,85,70,80
208,85,80,90
209,85,75,90
210,75,60,85
211,85,80,90
212,70,50,65
213,70,60,80
214,85,60,90
215,85,90,75
216,70,60,80
217,70,75,60
218,85,90,80
219,85,75,90
220,75,60,85
221,75,60,90
222,85,80,90
223,65,70,75
224,75,60,85
225,85,90,80
226,70,65,80
227,70,50,85
228,70,75,80
229,90,75,95
230,85,60,70
231,70,60,80
232,75,70,80
233,85,90,80
234,75,60,80
235,70,60,50
236,65,40,75
237,70,60,80
